title,ID,year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
Peter the Great,1349,1900,0.7632349451704208,0.05102667751394044,0.004569837799359333,0.02995076354638057,0.005891849290689988,0.002891900137285809,0.058043507737156996,0.08439051880476602
"The Boy Nihilist
or, Young America in Russia",2480,1909,0.11192429391773116,0.01392827844837689,0.0045529122231337165,0.0016699871088714402,0.060078518692136415,0.0008027657330364467,0.008912457517871793,0.7981307863588422
Dr. Elsie Inglis,2803,1916,0.04410123265068427,0.042160050470736676,0.19899139409233557,0.0011202238830114205,0.008690834384807014,0.0007966935196868226,0.023217347698081463,0.6809222233006568
An Outline of Russian Literature,3485,1914,0.08735380116959064,0.008406432748538011,0.015229044834307991,0.02546296296296296,0.3271198830409357,0.03667153996101365,0.06347465886939571,0.4362816764132554
The Boy Scouts In Russia,3488,1916,0.1551194239550404,0.011108184053389532,0.060634000702493855,0.02919740077274324,0.46790481208289425,0.010405690200210748,0.0058394801545486475,0.25979100807867933
"The Bullitt Mission to Russia
Testimony before the Committee on Foreign Relations, United States Senate, of William C. Bullitt",5310,1919,0.07684347323835194,0.014752599152868695,0.005414901809780516,0.008399114362726223,0.04902291105121294,0.0006979206777050443,0.002526954177897574,0.8423421255294571
Russian Life To-day,5996,1915,0.24893820942644515,0.02256070059385101,0.3940934375704728,0.003918289107720063,0.021132451326768397,0.003354506502292716,0.013615349921070436,0.2923870555513794
The Rise of David Levinsky,7973,1917,0.14040035840834114,0.08700566122266118,0.027216633405286524,0.037846698977721666,0.02306235490571417,0.48809717753431353,0.01397996171547265,0.18239115383048915
The White Terror and The Red: A Novel of Revolutionary Russia,8158,1905,0.054510955422762554,0.04067071914279827,0.002412597019026032,0.01632151933511917,0.5017257366577375,0.063062366920805,0.0027903702177347347,0.31850573528401677
Lorraine: A Romance,8873,1917,0.09282174016362833,0.050115422480225415,0.0016719285738534134,0.0033014224123298365,0.5695165834945853,0.016439216485046,0.004218012696472825,0.2619156736938588
Bolshevism: A Curse & Danger to the Workers,10713,1919,0.09888950073421439,0.016412750856583457,0.0019120166421928537,0.004237028879099364,0.0013001713166911405,0.022837126774351443,0.7552771659324523,0.09913423886441508
The Maids of Paradise,10972,1903,0.1687824723066366,0.0838234813580368,0.0011518478580531321,0.00435414828611574,0.0037006175865111264,0.388956965003431,0.1783566970558442,0.17087377054537137
Under Western Eyes,11980,1911,0.06284298294125154,0.3497362487769601,0.024556515080614284,0.026598460033181604,0.20688518313693793,0.0006487429276385758,0.0043923086740119965,0.324339558429404
The Real Tsaritsa,12328,1922,0.09095967920072043,0.6984903063565153,0.003385553837527398,0.0018393284964232915,0.023928261940767668,0.006596944930589773,0.0036404261465006024,0.1711594990909554
From Paris to New York by Land,12349,1903,0.056900369873018115,0.016285014253068532,0.010748698376799303,0.0017021226470657527,0.35873559968902397,0.001560769901288666,0.014117605484486536,0.5399498197752491
The Red Reign: The True Story of an Adventurous Year in Russia,15921,1907,0.2275425726238878,0.008580814330328207,0.5768737846915326,0.0556905898297095,0.006989865063932591,0.0051632196099228094,0.05339255200047139,0.06576660185021507
Royal Romances of To-day,16544,1911,0.03200511152416357,0.018993959107806692,0.0024976765799256504,0.02038801115241636,0.11758441759603469,0.2627207249070632,0.008151332094175961,0.5376587670384139
Through Scandinavia to Moscow,16613,1906,0.1598407561615723,0.0029451230341180417,0.004444817175444482,0.006970617834520591,0.0018203524281232117,0.0038528326459735186,0.7636649762219547,0.05646052449829311
"The Mentor: Russian Music, Vol. 4, Num. 18, Serial No. 118, November 1, 1916",16930,1916,0.35546246517286034,0.01825726955225052,0.004444139230074952,0.44442373346937175,0.007191068555507593,0.007151826708001413,0.052397676882627635,0.11067182042930582
Napoleon's Russian Campaign of 1812,16981,1914,0.0011036831483350151,0.06274175916582576,0.00076732256979482,0.004172973427514296,0.8774070803901782,0.0008514127144298688,0.0005150521358896738,0.05244071644803229
The Story of Moscow,17350,1900,0.3445759558634847,0.017401206055940466,0.03395239928149859,0.00386515268154991,0.004891583269181422,0.00508403900436233,0.5088048498845266,0.08142481395945599
Boris the Bear-Hunter,19534,1918,0.25315713853599514,0.42799077434966726,0.0467143073200242,0.19898795119983867,0.012181135309538214,0.007240623109497883,0.004493093365597903,0.049234976809840694
Moscow: A Story of the French Invasion of 1812,20880,1905,0.26183775950390936,0.020903545430035045,0.0017272175788622267,0.5600987462928012,0.004423362092208141,0.025790307360474513,0.049550080884335386,0.07566898085737395
The Point of View,21889,1913,0.35726972180213135,0.018649104913304963,0.0006066894101923821,0.38020082298737384,0.0008177118137375585,0.04006787887314037,0.027476875461611507,0.17491119473850808
A Tramp's Sketches,22004,1913,0.08793818219983207,0.0214324447243213,0.1601813951861181,0.017339245731877975,0.054912713406101314,0.0024532955499580187,0.004569864259725721,0.6511728589420654
"A Vagabond in the Caucasus
With Some Notes of His Experiences Among the Russians",22095,1915,0.06040641133389362,0.02270680753992076,0.001515788209869132,0.022466682674990995,0.02426761916196422,0.2831822547724817,0.004817505102653379,0.5806369312042262
Capitals of the Northlands: Tales of Ten Cities,22523,1914,0.05345327787563463,0.1754207433502568,0.002845660829793218,0.002653236430379372,0.010009769238739473,0.5523505380482245,0.07901611924392013,0.12425065498305185
Russia,23094,1905,0.0884882955720598,0.07288239165178152,0.00763843188869042,0.021176083482184825,0.012715051236250823,0.031235310707906364,0.02080003760458776,0.7450643978565386
The Secret City,24181,1919,0.013469404339464204,0.022191673212882953,0.001252810358371482,0.004530433133786602,0.7422664355175123,0.04204702440610017,0.00230923422813338,0.17193298480374894
"With the ""Die-Hards"" in Siberia",24981,1920,0.026680270927405353,0.10292202153525531,0.006360715526224385,0.015217957624175063,0.3053360541854811,0.040747655435915256,0.03206408475164989,0.47067124001389377
A Journey in Russia in 1858,26007,1918,0.12607024597918637,0.6811317407757805,0.0023947492904446547,0.006155392620624409,0.009206480605487228,0.009253784295175024,0.0030570009460737938,0.162730605487228
The Story of Russia,26051,1905,0.20831880013951867,0.022410184862225322,0.003226369026857342,0.016131845134286713,0.014736658528078131,0.014736658528078131,0.6844262295081968,0.036013254272758984
The Red Cross Girls with the Russian Army,27366,1916,0.15322281904056306,0.47883867382848677,0.0076403037599555475,0.20063900722355993,0.030792739396184477,0.013382107797740322,0.004491572513428413,0.1109927764400815
