ID,title,author,date
21889,Peter the Great,"Abbott, Jacob",YEAR
15269,The Empire of Russia: From the Remotest Periods to the Present Time,"Abbott, John S. C. (John Stevens Cabot)",YEAR
58794,"The Englishwoman in Russia
Impressions of the Society and Manners of the Russians at Home",A lady,YEAR
49782,The Czar: A tale of the Time of the First Napoleon,"Alcock, Deborah",YEAR
23094,"The Boy Nihilist
or, Young America in Russia","Arnold, Allan",YEAR
27484,Journal of a Visit to Constantinople and Some of the Greek Islands in the Spring and Summer of 1833,"Auldjo, John",YEAR
51410,Dr. Elsie Inglis,"Balfour, Frances, Lady",YEAR
33005,An Outline of Russian Literature,"Baring, Maurice",YEAR
21216,"Catharine's Peril, or The Little Russian Girl Lost in a Forest
And Other Stories","Bewsher, M. E., Mrs.",YEAR
16544,The Boy Scouts In Russia,"Blaine, John",YEAR
12458,"The Talisman, from the Russian of Alexander Pushkin; With Other Pieces","Borrow, George",YEAR
10713,"The Bullitt Mission to Russia
Testimony before the Committee on Foreign Relations, United States Senate, of William C. Bullitt","Bullitt, William C. (William Christian)",YEAR
33303,Russian Life To-day,"Bury, Herbert, Bp.",YEAR
2803,The Rise of David Levinsky,"Cahan, Abraham",YEAR
39166,The White Terror and The Red: A Novel of Revolutionary Russia,"Cahan, Abraham",YEAR
24181,Lorraine: A Romance,"Chambers, Robert W. (Robert William)",YEAR
28295,The Maids of Paradise,"Chambers, Robert W. (Robert William)",YEAR
2480,Under Western Eyes,"Conrad, Joseph",YEAR
49637,"Account of the Russian Discoveries between Asia and America
To which are added, the conquest of Siberia, and the history of the transactions and commerce between Russia and China","Coxe, William",YEAR
36945,A Tatter of Scarlet: Adventurous Episodes of the Commune in the Midi 1871,"Crockett, S. R. (Samuel Rutherford)",YEAR
50011,"Myths and Folk-tales of the Russians, Western Slavs, and Magyars","Curtin, Jeremiah",YEAR
60432,The Real Tsaritsa,"Den, Lili",YEAR
26007,From Paris to New York by Land,"De Windt, Harry",YEAR
