ID,title,author,date,validity
21889,Peter the Great,"Abbott, Jacob",1900,TRUE
15269,The Empire of Russia: From the Remotest Periods to the Present Time,"Abbott, John S. C. (John Stevens Cabot)",1859,TRUE
58794,"The Englishwoman in Russia
Impressions of the Society and Manners of the Russians at Home",A lady,1854,TRUE
49782,The Czar: A tale of the Time of the First Napoleon,"Alcock, Deborah",1895,TRUE
23094,"The Boy Nihilist
or, Young America in Russia","Arnold, Allan",1909,TRUE
27484,Journal of a Visit to Constantinople and Some of the Greek Islands in the Spring and Summer of 1833,"Auldjo, John",1835,TRUE
51410,Dr. Elsie Inglis,"Balfour, Frances, Lady",1916,TRUE
33005,An Outline of Russian Literature,"Baring, Maurice",1914,TRUE
21216,"Catharine's Peril, or The Little Russian Girl Lost in a Forest
And Other Stories","Bewsher, M. E., Mrs.",1881,TRUE
16544,The Boy Scouts In Russia,"Blaine, John",1916,TRUE
12458,"The Talisman, from the Russian of Alexander Pushkin; With Other Pieces","Borrow, George",1835,TRUE
10713,"The Bullitt Mission to Russia
Testimony before the Committee on Foreign Relations, United States Senate, of William C. Bullitt","Bullitt, William C. (William Christian)",1919,TRUE
33303,Russian Life To-day,"Bury, Herbert, Bp.",1915,TRUE
2803,The Rise of David Levinsky,"Cahan, Abraham",1917,TRUE
39166,The White Terror and The Red: A Novel of Revolutionary Russia,"Cahan, Abraham",1905,TRUE
24181,Lorraine: A Romance,"Chambers, Robert W. (Robert William)",1917,TRUE
28295,The Maids of Paradise,"Chambers, Robert W. (Robert William)",1903,TRUE
2480,Under Western Eyes,"Conrad, Joseph",1911,TRUE
49637,"Account of the Russian Discoveries between Asia and America
To which are added, the conquest of Siberia, and the history of the transactions and commerce between Russia and China","Coxe, William",1803,TRUE
50011,"Myths and Folk-tales of the Russians, Western Slavs, and Magyars","Curtin, Jeremiah",1890,TRUE
60432,The Real Tsaritsa,"Den, Lili",1922,TRUE
26007,From Paris to New York by Land,"De Windt, Harry",1903,TRUE
48992,From Pekin to Calais by Land,"De Windt, Harry",1889,TRUE
51117,Free Russia,"Dixon, William Hepworth",1870,TRUE
61557,The Red Reign: The True Story of an Adventurous Year in Russia,"Durland, Kellogg",1907,TRUE
60770,Royal Romances of To-day,"Durland, Kellogg",1911,TRUE
42132,Through Scandinavia to Moscow,"Edwards, William Seymour",1906,TRUE
51993,"The Mentor: Russian Music, Vol. 4, Num. 18, Serial No. 118, November 1, 1916","Finck, Henry T.",1916,TRUE
57185,Napoleon's Russian Campaign of 1812,"Foord, Edward (Edward A.)",1914,TRUE
46510,The Story of Moscow,"Gerrare, Wirt",1900,TRUE
5310,The Point of View,"Glyn, Elinor",1913,TRUE
11980,A Tramp's Sketches,"Graham, Stephen",1913,TRUE
58932,"A Vagabond in the Caucasus
With Some Notes of His Experiences Among the Russians","Graham, Stephen",1915,TRUE
27103,The Little Russian Servant,"Gréville, Henry",1899,TRUE
46019,Capitals of the Northlands: Tales of Ten Cities,"Hannah, Ian C.",1914,TRUE
18165,Russian Rambles,"Hapgood, Isabel Florence",1895,TRUE
26090,Condemned as a Nihilist: A Story of Escape from Siberia,"Henty, G. A. (George Alfred)",1892,TRUE
30457,Through Russian Snows: A Story of Napoleon's Retreat from Moscow,"Henty, G. A. (George Alfred)",1895,TRUE
27366,A Journey in Russia in 1858,"Heywood, Robert",1918,TRUE
48737,Turkish Harems & Circassian Homes,"Hope, Andrée",1871,TRUE
50023,The Economics of the Russian Village,"Hourwich, Isaac A. (Isaac Aaronovich)",1892,TRUE
31860,The Red Symbol,"Ironside, John",1910,TRUE
12328,"Tent Life in Siberia
A New Account of an Old Undertaking; Adventures among the Koraks and Other Tribes In Kamchatka and Northern Asia","Kennan, George",1910,TRUE
21461,"Fred Markham in Russia; Or, The Boy Travellers in the Land of the Czar","Kingston, William Henry Giles",1870,TRUE
60086,"The Boy Travellers in The Russian Empire
Adventures of Two Youths in a Journey in European and Asiatic Russia, with Accounts of a Tour across Siberia, Voyages on the Amoor, Volga, and Other Rivers, a Visit to Central Asia, Travels among the Exiles, and a Historical Sketch of the Empire from Its Foundation to the Present Time","Knox, Thomas Wallace",1887,TRUE
13806,"Overland through Asia; Pictures of Siberian, Chinese, and Tartar Life","Knox, Thomas Wallace",1870,TRUE
60791,"The War with Russia; Its Origin and Cause
A Reply to the Letter of J. Bright, Esq., M.P.","Langford, John Alfred",1855,TRUE
41091,"The Price of Power
Being Chapters from the Secret History of the Imperial Court of Russia","Le Queux, William",1913,TRUE
38357,By Right of Sword,"Marchmont, Arthur W.",1897,TRUE
40907,A Dash for a Throne,"Marchmont, Arthur W.",1899,TRUE
32370,Secret Diplomatic History of The Eighteenth Century,"Marx, Karl",1899,TRUE
59095,One Year at the Russian Court: 1904-1905,"Maud, Renée Gaudin de Villaine",1918,TRUE
56611,The Romance of the Romanoffs,"McCabe, Joseph",1917,TRUE
