title,year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
Peter the Great,1900,0.38023447583536485,0.025867632295998845,0.02417061044983029,0.48740977102155925,0.04314857306754624,0.0004840097519001863,0.0012010612361967588,0.03748386634160332
The Empire of Russia: From the Remotest Periods to the Present Time,1859,0.0028060914937507583,0.007963232617400801,0.023373983739837397,0.09897160538769567,0.7595710472030094,0.0006825627957772115,0.09909294988472273,0.007538526877806091
"The Englishwoman in Russia
Impressions of the Society and Manners of the Russians at Home",1854,0.002911528674887454,0.09203529718796896,0.0372626737130554,0.17336236706465716,0.23459418020486725,0.0013782866836301953,0.4328391074574281,0.025616559013505583
The Czar: A tale of the Time of the First Napoleon,1895,0.21753246753246752,0.05132408308304074,0.006144506958839206,0.3060302889293117,0.020992850797411058,0.002760269046913998,0.001152756038749524,0.3940627776132662
"The Boy Nihilist
or, Young America in Russia",1909,0.012127197816171859,0.6973371878126112,0.011686362942742333,0.18790162600247545,0.014178775496363111,0.00047898404516861934,0.0055485850896081655,0.07074128079485918
Journal of a Visit to Constantinople and Some of the Greek Islands in the Spring and Summer of 1833,1835,0.048845919038226715,0.021396872358410816,0.008365032403493941,0.8343958392035313,0.030037804076265606,0.0004520052596975673,0.004655067155067154,0.051851460505306646
Dr. Elsie Inglis,1916,0.48247907949790797,0.06197698744769874,0.057792887029288705,0.09021966527196652,0.023274058577405856,0.07139121338912134,0.011767782426778242,0.20109832635983263
An Outline of Russian Literature,1914,0.0006501376019390512,0.04513722321811801,0.19705481354306056,0.09306646131576068,0.5700865166931771,0.002030365002819367,0.00042290504203802357,0.09155157758308717
"Catharine's Peril, or The Little Russian Girl Lost in a Forest
And Other Stories",1881,0.0016245749482677251,0.5455818822077277,0.047548313709355375,0.08943027941478998,0.0254395730725946,0.00029345208562750344,0.008582717184796156,0.28149920737684087
The Boy Scouts In Russia,1916,0.018985497863524537,0.022999482066554448,0.8579211446329147,0.03313802926323967,0.00510488152272433,0.001298070697915318,0.007176615304933316,0.053376278648193706
"The Talisman, from the Russian of Alexander Pushkin; With Other Pieces",1835,0.0076627512856474985,0.0020818723702664796,0.15346686535764376,0.08442175081813932,0.2137462014960262,0.4894007129499766,0.001439048620850865,0.04778079710144927
"The Bullitt Mission to Russia
Testimony before the Committee on Foreign Relations, United States Senate, of William C. Bullitt",1919,0.05431932124951793,0.013517161588893174,0.03758195140763594,0.5948515233320478,0.007192441187813344,0.0014847666795217895,0.2806980331662167,0.01035480138835326
Russian Life To-day,1915,0.0011455485850262541,0.0007325611123129265,0.0892692088339987,0.048167122263957994,0.8311717044582981,0.000594898621408484,0.02700643080493225,0.0019125253200652913
The Rise of David Levinsky,1917,0.011232989206945097,0.028791256061317067,0.7150887689660567,0.065784842796809,0.13695643672767088,0.003059987486313155,0.003490145471609573,0.035595573283278586
The White Terror and The Red: A Novel of Revolutionary Russia,1905,0.8680607966457023,0.039423480083857446,0.0010167714884696017,0.055943396226415094,0.0007651991614255765,0.0003039832285115304,0.0007651991614255765,0.033721174004192875
Lorraine: A Romance,1917,0.002745857405878992,0.007824900006348803,0.057091613230905974,0.10058091549742873,0.7862516665608533,0.003634689860961209,0.009094660656466256,0.03277569678115675
Bolshevism: A Curse & Danger to the Workers,1919,0.00929732868757259,0.08191056910569106,0.0531068524970964,0.2350348432055749,0.08827526132404181,0.0008652729384436702,0.004233449477351916,0.5272764227642276
The Maids of Paradise,1903,0.004081804410031981,0.553315940077428,0.03168658475004208,0.1079363743477529,0.1737502104022892,0.012666217808449756,0.01014139033832688,0.10642147786567918
Under Western Eyes,1911,0.007243745460920087,0.20786481680899552,0.16166011369612582,0.01838796924695099,0.09507024617465128,0.03303824096566577,0.00341213593448699,0.47332273171220357
"Account of the Russian Discoveries between Asia and America
To which are added, the conquest of Siberia, and the history of the transactions and commerce between Russia and China",1803,0.007777291988968858,0.026341898163718305,0.8015151005582836,0.023483217865070294,0.06791047285935295,0.014806282370350442,0.01695870047756777,0.041207035716687976
"Myths and Folk-tales of the Russians, Western Slavs, and Magyars",1890,0.0898590446358653,0.0749804228660924,0.1574654137300966,0.5051553119290002,0.004763769250848342,0.004763769250848342,0.02956147220046985,0.1334507961367789
The Real Tsaritsa,1922,0.04718118074250297,0.11767513929756464,0.06993833343767608,0.24413854629687598,0.0031068052338320915,0.0005399737056282477,0.008991736054592124,0.5084282852313279
From Paris to New York by Land,1903,0.00134370828356636,0.031063373849504673,0.7546634581606126,0.08119335347432025,0.034997892222300285,0.00046546757535305275,0.019575985386074614,0.07669676104826811
From Pekin to Calais by Land,1889,0.046125187589432175,0.007979094684675253,0.11041164973999233,0.7301373329145291,0.06884532160681256,0.0010513733291452904,0.0011211740480926956,0.034328866087320706
The Romance of the Woods,1895,0.0031279932950191575,0.009174449233716476,0.04910500478927204,0.7740810584291189,0.011748682950191573,0.000912954980842912,0.0963392001915709,0.055510656130268204
Free Russia,1870,0.0030012403650217056,0.09616151324532646,0.007549245444611793,0.12402542748294496,0.08812867310475177,0.0005648090723841587,0.6020384808481734,0.07853061043678566
The Red Reign: The True Story of an Adventurous Year in Russia,1907,0.012678102737157856,0.0557039745031871,0.12038338957630296,0.6774700037495313,0.023832958380202475,0.0009608173978252718,0.03676884139482565,0.07220191226096738
Royal Romances of To-day,1911,0.6808658840077906,0.014722192166197794,0.006742317680155811,0.21833071845920798,0.0031446115559402733,0.0013051828608526294,0.05413465700064922,0.020754436269205805
Through Scandinavia to Moscow,1906,0.01460182157870154,0.014111396543671181,0.04241592713685194,0.8532753386268099,0.049024988323213455,0.0005429705744978982,0.0009166277440448388,0.025110929472209248
"The Mentor: Russian Music, Vol. 4, Num. 18, Serial No. 118, November 1, 1916",1916,0.14771843401607468,0.023615072163166537,0.009787399533316048,0.5282387001987728,0.02240515080805462,0.003997061619566157,0.058875637369285284,0.2053625442917639
Napoleon's Russian Campaign of 1812,1914,0.02243065772982399,0.0932169908996785,0.5678777723284835,0.0909555337583783,0.007935534848237153,0.006545964797558716,0.09117350553103373,0.11986404010680617
The Story of Moscow,1900,0.003893640583398129,0.69647864093683,0.020340001413727292,0.15822553662731792,0.02246059235173535,0.0011839966070544992,0.005778610306071959,0.09163898117386489
Boris the Bear-Hunter,1918,0.016689726738152888,0.029833967485299203,0.035022483569699066,0.03882739536492563,0.8323244552058111,0.007696298858526462,0.023953649256312694,0.015652023521272915
Moscow: A Story of the French Invasion of 1812,1905,0.016327372458080632,0.5391823492686408,0.007854307884409563,0.350612067427756,0.010440822333214415,0.00042922761327149485,0.011399616482340351,0.06375423653228685
The Point of View,1913,0.008792356880318212,0.07726826443784302,0.3160528170786969,0.09005714717285132,0.013298675796787675,0.0018188912944967525,0.4361122299984895,0.05659961734051659
A Tramp's Sketches,1913,0.2929670799486961,0.03772979905942711,0.029179136383069692,0.4417486105173151,0.02447627191107311,0.009085079093629758,0.011650277896536984,0.15316374519025228
"A Vagabond in the Caucasus
With Some Notes of His Experiences Among the Russians",1915,0.016297322253000922,0.07483841181902123,0.10512465373961219,0.024607571560480147,0.01020313942751616,0.0022622345337026777,0.011126500461680518,0.7555401662049861
